,PaperPlease,Dota2,Portal2,HalfLife2,CandyCrush,Warcraft3,Starcraft1,Starcraft2,BioshockInfinite,Halo2,Halo
Scott,4.5,5,4,4.5,2.5,4,4,4.5,5,5,5
Mikko,3.5,2.5,4.5,4.5,1,3.5,3,3.5,5,5,5
Allen,2,5,3.5,3,1,4.5,4.5,4,5,4.5,4
Alvin,1,5,5,4,3,0,5,3,4,2,1
Danny,4,4,4,0,2,4,5,5,4,4,4
Victor,3,4,4,5,1,4,5,3,2,4,4
Jeff,3,4,4,5,2,3,2,2,0,3,3
